iter	Passed	Remaining
0	164	164520
1	595	296960
2	820	272582
3	928	231320
4	1036	206191
5	1135	188152
6	1236	175379
7	1337	165828
8	1448	159483
9	1547	153251
10	1647	148093
11	1756	144628
12	1929	146475
13	2063	145337
14	2206	144924
15	2323	142873
16	2442	141257
17	2583	140950
18	2706	139736
19	2837	139031
20	2961	138064
21	3078	136873
22	3194	135707
23	3339	135814
24	3452	134633
25	3570	133744
26	3699	133310
27	3815	132438
28	3922	131320
29	4018	129916
30	4109	128440
31	4209	127346
32	4304	126126
33	4391	124781
34	4485	123681
35	4569	122358
36	4666	121454
37	4771	120791
38	4886	120410
39	4985	119662
40	5086	118983
41	5183	118243
42	5281	117547
43	5379	116872
44	5493	116576
45	5596	116070
46	5691	115409
47	5787	114784
48	5885	114230
49	5977	113579
50	6064	112855
51	6148	112094
52	6238	111465
53	6328	110860
54	6427	110439
55	6522	109958
56	6623	109584
57	6718	109113
58	6824	108841
59	6937	108684
60	7054	108585
61	7154	108242
62	7264	108045
63	7359	107635
64	7465	107391
65	7597	107521
66	7699	107212
67	7806	106992
68	7906	106685
69	8002	106316
70	8091	105869
71	8184	105492
72	8281	105163
73	8373	104776
74	8456	104298
75	8542	103861
76	8636	103531
77	8729	103187
78	8819	102816
79	8910	102468
80	9006	102189
81	9099	101871
82	9202	101667
83	9291	101322
84	9381	100983
85	9472	100677
86	9563	100365
87	9650	100016
88	9736	99662
89	9833	99426
90	9937	99263
91	10062	99311
92	10160	99095
93	10254	98839
94	10348	98579
95	10448	98388
96	10564	98349
97	10687	98365
98	10786	98166
99	10876	97887
100	10965	97602
101	11055	97335
102	11158	97173
103	11256	96977
104	11346	96713
105	11435	96443
106	11519	96141
107	11605	95853
108	11698	95630
109	11783	95336
110	11873	95098
111	11961	94837
112	12050	94592
113	12140	94351
114	12226	94088
115	12310	93811
116	12396	93554
117	12484	93315
118	12581	93144
119	12680	92991
120	12784	92872
121	12877	92678
122	12977	92529
123	13079	92399
124	13178	92251
125	13280	92117
126	13380	91979
127	13462	91713
128	13548	91481
129	13630	91222
130	13716	90990
131	13803	90768
132	13897	90597
133	13988	90404
134	14073	90174
135	14155	89928
136	14245	89734
137	14326	89487
138	14416	89298
139	14502	89088
140	14593	88906
141	14690	88763
142	14780	88578
143	14879	88450
144	14974	88297
145	15066	88127
146	15154	87934
147	15235	87706
148	15314	87465
149	15396	87246
150	15482	87050
151	15561	86817
152	15645	86613
153	15727	86397
154	15816	86227
155	15901	86029
156	15985	85834
157	16080	85692
158	16166	85508
159	16251	85322
160	16350	85207
161	16459	85140
162	16556	85014
163	16640	84823
164	16725	84641
165	16813	84475
166	16896	84280
167	16987	84127
168	17075	83961
169	17157	83769
170	17237	83567
171	17320	83381
172	17408	83220
173	17494	83049
174	17588	82915
175	17667	82713
176	17752	82542
177	17838	82378
178	17933	82255
179	18032	82147
180	18118	81985
181	18200	81804
182	18283	81625
183	18362	81435
184	18448	81275
185	18529	81092
186	18616	80936
187	18704	80786
188	18793	80641
189	18884	80507
190	18973	80363
191	19060	80213
192	19143	80047
193	19225	79875
194	19315	79738
195	19398	79574
196	19480	79403
197	19564	79245
198	19650	79096
199	19736	78947
200	19823	78802
201	19912	78665
202	20003	78535
203	20087	78380
204	20181	78266
205	20272	78136
206	20369	78033
207	20463	77917
208	20554	77794
209	20641	77650
210	20725	77498
211	20814	77367
212	20891	77189
213	20969	77019
214	21050	76859
215	21128	76687
216	21209	76529
217	21295	76389
218	21386	76267
219	21621	76658
220	21750	76667
221	21852	76581
222	21941	76452
223	22035	76337
224	22122	76199
225	22209	76061
226	22296	75925
227	22374	75757
228	22462	75628
229	22547	75486
230	22629	75335
231	22713	75188
232	22796	75043
233	22883	74910
234	22970	74776
235	23054	74635
236	23148	74524
237	23240	74407
238	23342	74325
239	23435	74213
240	23535	74122
241	23635	74033
242	23723	73904
243	23825	73819
244	23931	73748
245	24032	73661
246	24137	73584
247	24232	73478
248	24330	73382
249	24423	73270
250	24517	73160
251	24616	73067
252	24712	72966
253	24807	72860
254	24909	72775
255	25010	72687
256	25109	72592
257	25207	72495
258	25305	72400
259	25419	72346
260	25536	72303
261	25641	72226
262	25753	72167
263	25851	72070
264	25938	71943
265	26028	71822
266	26129	71733
267	26228	71638
268	26323	71533
269	26426	71449
270	26524	71351
271	26623	71256
272	26725	71170
273	26823	71071
274	26915	70958
275	27020	70880
276	27117	70778
277	27217	70686
278	27316	70591
279	27397	70451
280	27486	70329
281	27580	70221
282	27664	70088
283	27758	69983
284	27843	69853
285	27925	69716
286	28005	69575
287	28089	69442
288	28168	69300
289	28249	69161
290	28332	69028
291	28425	68920
292	28509	68792
293	28591	68658
294	28673	68524
295	28761	68406
296	28846	68279
297	28931	68154
298	29012	68020
299	29095	67888
300	29183	67771
301	29272	67656
302	29358	67534
303	29434	67389
304	29526	67280
305	29612	67159
306	29696	67033
307	29793	66937
308	29877	66812
309	29963	66692
310	30046	66566
311	30131	66443
312	30211	66311
313	30304	66206
314	30398	66104
315	30490	65998
316	30577	65881
317	30663	65762
318	30745	65634
319	30826	65506
320	30915	65394
321	31002	65278
322	31089	65162
323	31182	65059
324	31270	64947
325	31364	64844
326	31453	64735
327	31556	64652
328	31660	64571
329	31753	64469
330	31848	64369
331	31953	64291
332	32057	64211
333	32149	64107
334	32230	63979
335	32322	63875
336	32411	63765
337	32499	63653
338	32584	63535
339	32664	63406
340	32752	63294
341	32834	63172
342	32913	63044
343	32993	62917
344	33076	62796
345	33160	62679
346	33247	62565
347	33337	62459
348	33432	62362
349	33514	62241
350	33598	62123
351	33681	62003
352	33760	61878
353	33846	61765
354	33931	61649
355	34010	61524
356	34096	61412
357	34181	61296
358	34271	61191
359	34358	61082
360	34446	60973
361	34536	60868
362	34622	60756
363	34710	60647
364	34794	60532
365	34887	60433
366	34985	60342
367	35072	60232
368	35156	60117
369	35254	60027
370	35353	59938
371	35461	59864
372	35566	59786
373	35674	59712
374	35772	59621
375	35880	59546
376	35993	59479
377	36098	59399
378	36223	59352
379	36320	59259
380	36449	59217
381	36568	59161
382	36680	59090
383	36779	59001
384	36868	58893
385	36970	58807
386	37058	58700
387	37141	58584
388	37236	58486
389	37331	58390
390	37427	58295
391	37527	58206
392	37616	58099
393	37702	57988
394	37801	57898
395	37898	57804
396	37988	57700
397	38075	57591
398	38162	57483
399	38259	57388
400	38367	57311
401	38474	57232
402	38577	57147
403	38677	57058
404	38777	56969
405	38875	56876
406	38971	56781
407	39069	56689
408	39165	56593
409	39261	56498
410	39369	56419
411	39474	56337
412	39567	56237
413	39659	56136
414	39738	56016
415	39829	55914
416	39925	55818
417	40011	55709
418	40093	55594
419	40181	55489
420	40268	55381
421	40359	55279
422	40448	55174
423	40535	55066
424	40624	54961
425	40703	54844
426	40787	54733
427	40867	54617
428	40945	54498
429	41032	54392
430	41129	54299
431	41210	54183
432	41296	54076
433	41381	53967
434	41477	53872
435	41564	53766
436	41645	53653
437	41739	53556
438	41831	53456
439	41923	53357
440	42018	53261
441	42104	53154
442	42202	53062
443	42311	52984
444	42404	52886
445	42492	52782
446	42581	52679
447	42673	52579
448	42768	52483
449	42855	52379
450	42958	52293
451	43045	52188
452	43135	52086
453	43220	51978
454	43319	51887
455	43403	51779
456	43484	51667
457	43567	51558
458	43652	51450
459	43733	51339
460	43818	51232
461	43899	51121
462	43986	51017
463	44062	50899
464	44155	50803
465	44242	50698
466	44322	50586
467	44406	50478
468	44492	50373
469	44590	50282
470	44681	50183
471	44769	50081
472	44847	49967
473	44929	49858
474	45012	49751
475	45097	49645
476	45181	49539
477	45269	49436
478	45355	49332
479	45442	49229
480	45521	49118
481	45602	49008
482	45690	48906
483	45788	48816
484	45864	48701
485	45950	48598
486	46045	48504
487	46142	48412
488	46224	48304
489	46308	48199
490	46391	48092
491	46477	47989
492	46561	47883
493	46651	47784
494	46745	47690
495	46842	47598
496	46921	47488
497	47006	47383
498	47091	47280
499	47176	47176
500	47270	47081
501	47367	46990
502	47464	46898
503	47546	46791
504	47630	46687
505	47722	46590
506	47808	46488
507	47890	46382
508	47974	46278
509	48069	46184
510	48167	46093
511	48250	45989
512	48343	45893
513	48436	45797
514	48531	45704
515	48615	45600
516	48704	45501
517	48788	45397
518	48866	45288
519	48956	45190
520	49044	45090
521	49135	44993
522	49228	44898
523	49314	44797
524	49398	44694
525	49476	44584
526	49554	44477
527	49632	44368
528	49730	44277
529	49821	44181
530	49909	44081
531	49994	43980
532	50086	43884
533	50165	43776
534	50261	43685
535	50384	43616
536	50489	43532
537	50594	43447
538	50694	43358
539	50784	43261
540	50881	43169
541	50971	43071
542	51061	42974
543	51145	42871
544	51229	42769
545	51327	42678
546	51434	42595
547	51520	42494
548	51610	42397
549	51693	42294
